region_id,neighbor_id
2270,2253
2270,3895
2270,2260
2270,2230
5183,2265
5183,4913
5183,2242
5183,2266
5183,2244
5183,2233
2265,5183
2265,4913
2265,2237
2265,2266
2265,2227
4913,5183
4913,2265
4913,2227
4913,2244
4913,2240
4913,2234
2237,2265
2237,2266
2237,2227
2237,2246
2237,2234
2237,2236
2262,2249
2262,2256
2262,2226
2253,2270
2253,2266
2253,3895
2253,2236
2253,2260
2242,5183
2242,2244
2242,2240
2266,5183
2266,2265
2266,2237
2266,2253
2266,2233
2266,2236
2266,2260
2227,2265
2227,4913
2227,2237
2227,2234
2244,5183
2244,4913
2244,2242
2244,2240
2261,2247
2261,2263
2261,2256
2261,2226
2235,2255
2235,2257
2235,2238
2235,2260
2235,2230
2246,2237
2246,2234
2240,4913
2240,2242
2240,2244
2240,2268
2241,2243
2241,2257
2241,2238
2268,2240
2255,2235
2255,2238
2255,2230
2233,5183
2233,2266
2233,2260
2258,2251
2258,2243
2247,2261
2247,2263
2247,2257
2247,2260
2251,2258
2251,2243
2251,2257
2243,2241
2243,2258
2243,2251
2243,2257
2249,2262
2234,4913
2234,2237
2234,2227
2234,2246
2263,2261
2263,2247
2263,2256
2257,2235
2257,2241
2257,2247
2257,2251
2257,2243
2257,2238
2257,2260
3895,2270
3895,2253
3895,2230
2236,2237
2236,2253
2236,2266
2238,2235
2238,2241
2238,2255
2238,2257
2260,2270
2260,2253
2260,2266
2260,2235
2260,2233
2260,2247
2260,2257
2260,2230
2230,2270
2230,2235
2230,2255
2230,3895
2230,2260
2256,2262
2256,2261
2256,2263
2256,2226
2226,2262
2226,2261
2226,2256
